epoch,date,transaction
1436432009,07/09/15,0
1436518409,07/10/15,0
1436604809,07/11/15,0
1436691209,07/12/15,0
1436777609,07/13/15,0
1436864009,07/14/15,0
1436950409,07/15/15,0
1437036809,07/16/15,0
1437123209,07/17/15,0
1437209609,07/18/15,0
1437296009,07/19/15,0
1437382409,07/20/15,0
1437468809,07/21/15,0
1437555209,07/22/15,0
1437641609,07/23/15,0
1437728009,07/24/15,0
1437814409,07/25/15,0
1437900809,07/26/15,0
1437987209,07/27/15,0
1438073609,07/28/15,0
1438160009,07/29/15,0
1438246409,07/30/15,0
1438332809,07/31/15,0
1438419209,08/01/15,0
1438505609,08/02/15,0
1438592009,08/03/15,0
